step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
132,13.2,0.498908,-0.658731,4.431264,-0.380061,-0.824417,2.199115,0.894449,2.232149,0.359636,-0.713809,-0.005917,-0.032408,-0.059167,-0.324079
133,13.3,0.48893,-0.693283,4.359883,-0.403573,-0.792056,2.120575,0.897952,2.239308,0.358041,-0.743482,-0.001595,-0.029673,-0.015947,-0.29673
134,13.4,0.476568,-0.726885,4.285535,-0.424473,-0.757951,2.042035,0.901577,2.2435,0.360122,-0.769659,0.002081,-0.026176,0.020807,-0.261763
135,13.5,0.461659,-0.759666,4.208569,-0.442632,-0.72231,1.963495,0.905063,2.245074,0.364987,-0.791861,0.004864,-0.022203,0.048644,-0.222026
136,13.6,0.444038,-0.79163,4.129383,-0.45794,-0.685355,1.884956,0.908217,2.244427,0.37166,-0.809872,0.006673,-0.018011,0.06673,-0.18011
137,13.7,0.423577,-0.822656,4.048396,-0.4703,-0.647313,1.806416,0.910913,2.24198,0.379212,-0.823695,0.007553,-0.013823,0.075528,-0.138226
138,13.8,0.400208,-0.852521,3.966026,-0.479638,-0.608418,1.727876,0.91308,2.23815,0.386852,-0.833511,0.007639,-0.009816,0.076395,-0.098158
139,13.9,0.373941,-0.880922,3.882675,-0.485896,-0.568911,1.649336,0.914697,2.233339,0.393969,-0.839636,0.007117,-0.006125,0.071172,-0.061253
140,14.0,0.344877,-0.907518,3.798711,-0.489034,-0.529034,1.570796,0.915783,2.227915,0.400152,-0.842481,0.006183,-0.002845,0.061833,-0.028451
141,14.1,0.313195,-0.931961,3.714463,-0.489034,-0.489034,1.492257,0.916381,2.222207,0.405174,-0.842514,0.005022,-3.3e-05,0.050218,-0.000333
142,14.2,0.279146,-0.953923,3.630212,-0.485896,-0.449157,1.413717,0.916557,2.216495,0.408961,-0.840232,0.003787,0.002283,0.037872,0.022828
143,14.3,0.243035,-0.97312,3.546189,-0.479638,-0.40965,1.335177,0.916382,2.211012,0.411557,-0.836131,0.002596,0.004101,0.02596,0.04101
144,14.4,0.205202,-0.989321,3.462576,-0.4703,-0.370755,1.256637,0.91593,2.205939,0.413084,-0.830692,0.001526,0.005439,0.015264,0.05439
145,14.5,0.166004,-1.002354,3.379507,-0.45794,-0.332713,1.178097,0.915273,2.201409,0.413706,-0.824362,0.000622,0.00633,0.006221,0.063297
146,14.6,0.125799,-1.012104,3.29707,-0.442632,-0.295758,1.099557,0.914476,2.197513,0.413605,-0.817545,-0.000101,0.006817,-0.001009,0.068173
147,14.7,0.084937,-1.018509,3.215316,-0.424473,-0.260117,1.021018,0.913595,2.194298,0.412958,-0.810592,-0.000647,0.006953,-0.006468,0.069531
148,14.8,0.043753,-1.02155,3.134257,-0.403573,-0.226012,0.942478,0.912679,2.191779,0.411926,-0.803799,-0.001032,0.006793,-0.010325,0.067927
149,14.9,0.002562,-1.021248,3.053877,-0.380061,-0.193651,0.863938,0.911766,2.189939,0.410644,-0.797406,-0.001282,0.006393,-0.012815,0.063932
150,15.0,-0.038345,-1.017651,2.974136,-0.354084,-0.163235,0.785398,0.910889,2.188738,0.409225,-0.791595,-0.001419,0.005811,-0.014195,0.058109
151,15.1,-0.078695,-1.01083,2.894977,-0.325799,-0.13495,0.706858,0.910069,2.188118,0.407754,-0.786495,-0.001471,0.005099,-0.014707,0.050993
152,15.2,-0.118236,-1.000876,2.816327,-0.295383,-0.108973,0.628319,0.909325,2.188009,0.406297,-0.782187,-0.001457,0.004308,-0.014567,0.043078
153,15.3,-0.156736,-0.987892,2.738109,-0.263022,-0.085461,0.549779,0.908669,2.18833,0.404902,-0.778707,-0.001395,0.00348,-0.01395,0.034803
154,15.4,-0.193975,-0.971995,2.660238,-0.228917,-0.064561,0.471239,0.908106,2.188999,0.403603,-0.776052,-0.0013,0.002655,-0.012996,0.026549
155,15.5,-0.229749,-0.953309,2.582633,-0.193276,-0.046402,0.392699,0.90764,2.189934,0.402421,-0.774189,-0.001181,0.001863,-0.011812,0.018631
156,15.6,-0.263866,-0.931968,2.505214,-0.156321,-0.031094,0.314159,0.90727,2.191054,0.401374,-0.773059,-0.001048,0.00113,-0.010479,0.011301
157,15.7,-0.296147,-0.908115,2.427908,-0.118279,-0.018734,0.235619,0.906993,2.192288,0.400468,-0.772585,-0.000906,0.000474,-0.009058,0.004744
158,15.8,-0.32642,-0.881899,2.350649,-0.079384,-0.009396,0.15708,0.906802,2.19357,0.399708,-0.772676,-0.00076,-9.1e-05,-0.0076,-0.000913
159,15.9,-0.354527,-0.85348,2.273382,-0.039877,-0.003138,0.07854,0.906689,2.194842,0.399093,-0.773236,-0.000614,-0.00056,-0.006144,-0.005601
